point,value,outcome,source
-2.30259,-6.90979,1,1
-1.7909,-6.39877,1,1
-1.27921,-5.8882,1,1
-0.76753,-5.37837,1,1
-0.25584,-4.86978,1,1
0.25584,-4.36326,1,1
0.76753,-3.8602,1,1
1.27921,-3.36289,1,1
1.7909,-2.87519,1,1
2.30259,-2.40352,1,1
-2.30259,-13.31352,2,1
-1.7909,-11.79292,2,1
-1.27921,-10.28198,2,1
-0.76753,-8.78714,2,1
-0.25584,-7.31918,2,1
0.25584,-5.89605,2,1
0.76753,-4.54769,2,1
1.27921,-3.32406,2,1
1.53506,-2.78323,2,1
1.7909,-2.3085,2,1
2.04674,-1.91914,2,1
2.30259,-1.64002,2,1
-2.30259,-5.76644,3,1
-1.7909,-5.25686,3,1
-1.27921,-4.74867,3,1
-0.76753,-4.24282,3,1
-0.25584,-3.74088,3,1
0.25584,-3.24544,3,1
0.76753,-2.76085,3,1
1.27921,-2.29438,3,1
1.7909,-1.8581,3,1
2.30259,-1.47221,3,1
-2.30259,-4.95281,4,1
-1.7909,-4.44587,4,1
-1.27921,-3.94212,4,1
-0.76753,-3.44366,4,1
-0.25584,-2.95403,4,1
0.25584,-2.47915,4,1
0.76753,-2.02885,4,1
1.27921,-1.6195600000000001,4,1
1.7909,-1.27868,4,1
2.30259,-1.05192,4,1
-2.30259,-3.76021,5,1
-1.7909,-3.26445,5,1
-1.27921,-2.77934,5,1
-0.76753,-2.31197,5,1
-0.25584,-1.87422,5,1
0.25584,-1.48585,5,1
0.76753,-1.17988,5,1
1.27921,-1.01135,5,1
1.43378,-1,5,1
1.7909,-1.07209,5,1
2.04674,-1.23293,5,1
2.30259,-1.51525,5,1
-2.30259,-8.79926,6,1
-1.7909,-7.7876,6,1
-1.27921,-6.78375,6,1
-0.76753,-5.79296,6,1
-0.25584,-4.82392,6,1
0.25584,-3.89119,6,1
0.76753,-3.01901,6,1
1.27921,-2.24785,6,1
1.53506,-1.91976,6,1
1.7909,-1.64519,6,1
2.04674,-1.43975,6,1
2.30259,-1.3236,6,1
-2.30259,-2.33718,1,2
-1.7909,-1.89736,1,2
-1.27921,-1.50556,1,2
-0.76753,-1.19385,1,2
-0.25584,-1.01575,1,2
-0.07297,-1,1,2
